PERIOD_BEGIN,REGION,STATE,PROPERTY_TYPE,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_PPSF,HOMES_SOLD,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,AVG_SALE_TO_LIST,PRICE_DROPS
1/1/2026,"Greenville, TX",Texas,Single Family Residential,255000,-0.017339147,262350,148.6238532,23,262,11.4,174,0.976984921,0.255725191
1/1/2026,"Georgetown, TX",Texas,Single Family Residential,417500,0.046131256,399450,199.0462797,116,714,6.2,126,0.971400822,0.340336135
1/1/2026,"Palm Valley, TX",Texas,Single Family Residential,387000,NA,242500,119.2621247,2,12,6,48,NA,0.166666667
1/1/2026,"Brazoria, TX",Texas,Single Family Residential,267500,0.621212121,115000,174.5078079,2,21,10.5,88,0.973684211,0.190476191
1/1/2026,"Poetry, TX",Texas,Single Family Residential,419900,NA,501950,198.0660377,1,10,10,43,1,0.2
1/1/2026,"Friendswood, TX",Texas,Single Family Residential,403000,0.008760951,412250,170.7369323,39,139,3.6,79,0.976655981,0.26618705
1/1/2026,"Weslaco, TX",Texas,Single Family Residential,232500,0.04494382,184999,127.2984289,12,151,12.6,57,0.953007294,0.218543046
1/1/2026,"Rockport, TX",Texas,Single Family Residential,281000,-0.034131922,419999.5,209.6273292,17,181,10.6,52,0.902157865,0.187845304
1/1/2026,"Stinnett, TX",Texas,Single Family Residential,140000,NA,84900,123.6749117,1,9,9,142,NA,NA
1/1/2026,"Mart, TX",Texas,Single Family Residential,55000,-0.466016825,214700,28.67598044,2,20,10,184,0.961538462,0.2
1/1/2026,"Pampa, TX",Texas,Single Family Residential,182950,0.362756052,119000,97.02742068,16,88,5.5,118,NA,0.193181818
1/1/2026,"Mansfield, TX",Texas,Single Family Residential,429500,-0.086170213,495000,168.8346997,60,300,5,76,0.976094139,0.303333333
1/1/2026,"Cibolo, TX",Texas,Single Family Residential,317450,-0.092987043,374500,153.810543,28,214,7.6,109,0.968758012,0.294392523
1/1/2026,"Denison, TX",Texas,Single Family Residential,257500,0.170986812,225000,151.0917243,14,226,16.1,104,0.951646036,0.256637168
1/1/2026,"Lakeside City, TX",Texas,Single Family Residential,372450,NA,408250,135.7281997,2,7,3.5,84,NA,0.142857143
1/1/2026,"Wells Branch, TX",Texas,Single Family Residential,452900,-0.083198381,527499.5,230.6509482,3,7,2.3,41,0.988625862,0.857142857
1/1/2026,"Oak Ridge North, TX",Texas,Single Family Residential,346000,NA,338000,149.6506875,2,6,3,128,0.934276018,0.5
1/1/2026,"Taylor, TX",Texas,Single Family Residential,275000,-0.137931035,289900,148.9955357,11,77,7,110,0.960097518,0.25974026
1/1/2026,"Colleyville, TX",Texas,Single Family Residential,836500,-0.195673077,980000,260.3393425,17,49,2.9,58,0.963656025,0.244897959
1/1/2026,"Shavano Park, TX",Texas,Single Family Residential,840000,0.302325581,1100000,289.1566265,3,16,5.3,52,0.966089542,0.25
1/1/2026,"Sargent, TX",Texas,Single Family Residential,303000,1.02,489000,272.2796091,8,58,7.3,149,0.950784971,0.103448276
1/1/2026,"Santa Rita Ranch, TX",Texas,Single Family Residential,625000,0.157750445,599900,215.9640636,17,148,8.7,136,0.962855424,0.493243243
1/1/2026,"Groves, TX",Texas,Single Family Residential,164000,-0.062321326,269749.5,98.57142857,13,36,2.8,56,0.778642937,0.166666667
1/1/2026,"Bonham, TX",Texas,Single Family Residential,145000,-0.240837696,240000,160.2564103,5,56,11.2,94,0.895014455,0.214285714
1/1/2026,"Peaster, TX",Texas,Single Family Residential,415000,NA,660000,241.9825073,1,8,8,75,0.989272944,0.125
1/1/2026,"Pleasant Valley, TX",Texas,Single Family Residential,209900,NA,NA,208.234127,1,NA,NA,149,NA,NA
1/1/2026,"Rosser, TX",Texas,Single Family Residential,80000,NA,NA,51.8134715,1,NA,NA,144,0.666666667,NA
1/1/2026,"Noonday, TX",Texas,Single Family Residential,430000,0.564205166,435000,230.9344791,1,2,2,285,NA,0.5
1/1/2026,"Danbury, TX",Texas,Single Family Residential,283500,-0.140909091,235500,167.1255974,2,9,4.5,105,0.963519059,0.222222222
1/1/2026,"Marshall, TX",Texas,Single Family Residential,269950,0.713968254,182200,130.3520209,10,82,8.2,90,NA,0.146341463
1/1/2026,"Buda, TX",Texas,Single Family Residential,330000,-0.175,402495,176.1896307,7,62,8.9,119,0.986517611,0.129032258
1/1/2026,"Freeport, TX",Texas,Single Family Residential,169400,-0.084324324,155000,92.87280702,7,53,7.6,90,0.91224061,0.283018868
1/1/2026,"Homestead Meadows South, TX",Texas,Single Family Residential,189475,-0.298110761,NA,102.2385938,2,1,0.5,112,0.983783784,NA
1/1/2026,"Ore City, TX",Texas,Single Family Residential,134900,NA,109999.5,124.676525,1,4,4,63,NA,0.25
1/1/2026,"Clint, TX",Texas,Single Family Residential,725650,2.62825,NA,246.1631886,2,1,0.5,2,1,NA
1/1/2026,"Winona, TX",Texas,Single Family Residential,260625,NA,NA,173.804246,2,10,5,205,0.966981132,0.2
1/1/2026,"Mountain City, TX",Texas,Single Family Residential,435000,NA,475000,217.6088044,1,2,2,162,0.966666667,1
1/1/2026,"Orange Grove, TX",Texas,Single Family Residential,320000,NA,259000,194.4106926,1,6,6,22,1.015873016,0.166666667
1/1/2026,"Savoy, TX",Texas,Single Family Residential,385000,NA,NA,195.7295374,1,3,3,118,1.00130039,NA
1/1/2026,"River Oaks, TX",Texas,Single Family Residential,181000,-0.372615897,226500,206.2699256,2,23,11.5,62,0.950662021,0.217391304
1/1/2026,"Nolanville, TX",Texas,Single Family Residential,330000,0.021039604,327000,148.2231201,2,66,33,257,1,0.272727273
1/1/2026,"Sweeny, TX",Texas,Single Family Residential,176500,NA,194500,121.3902836,2,24,12,312,0.969635454,0.5
1/1/2026,"Jourdanton, TX",Texas,Single Family Residential,174999.5,-0.069146644,215498.5,142.9980844,4,21,5.3,185,0.985714286,0.333333333
1/1/2026,"Richmond, TX",Texas,Single Family Residential,300000,-0.181580096,282450,155.2795031,5,36,7.2,117,1.012733696,0.388888889
1/1/2026,"Pearsall, TX",Texas,Single Family Residential,126000,-0.148648649,277250,99.77335165,2,14,7,104,1.022222222,NA
1/1/2026,"Port O'Connor, TX",Texas,Single Family Residential,446975,0.862395833,975000,260.5632328,4,48,12,125,0.907179013,0.166666667
1/1/2026,"Pleak, TX",Texas,Single Family Residential,211000,-0.272413793,429000,201.7208413,1,3,3,4,0.959090909,NA
1/1/2026,"Ladonia, TX",Texas,Single Family Residential,245000,NA,NA,101.3593644,2,6,3,212,0.906004379,0.5
1/1/2026,"Kerens, TX",Texas,Single Family Residential,138000,-0.1375,235000,113.4868421,1,6,6,137,1.061538462,NA
1/1/2026,"Plainview, TX",Texas,Single Family Residential,187500,0.563803169,164000,92.32625639,6,69,11.5,54,NA,0.115942029
1/1/2026,"Beasley, TX",Texas,Single Family Residential,344396,0.572584475,274499.5,142.5480132,1,8,8,34,0.997844353,0.5
1/1/2026,"Midway North, TX",Texas,Single Family Residential,268950,NA,259000,164.8462903,2,15,7.5,264,0.998129923,0.133333333
1/1/2026,"Burleson, TX",Texas,Single Family Residential,329950,-0.043623188,325000,174.8582231,37,215,5.8,69,0.985320879,0.218604651
1/1/2026,"Helotes, TX",Texas,Single Family Residential,412500,0.071456401,455000,163.7155424,4,30,7.5,60,0.969379806,0.4
1/1/2026,"Salado, TX",Texas,Single Family Residential,325000,0.094276094,468000,175.3782669,5,27,5.4,133,0.964321995,0.148148148
1/1/2026,"Plano, TX",Texas,Single Family Residential,499000,-0.040384615,527499.5,218.579235,103,477,4.6,59,0.972153147,0.28721174
1/1/2026,"Clarksville City, TX",Texas,Single Family Residential,215000,NA,320000,121.7440544,1,3,3,27,NA,0.333333333
1/1/2026,"San Benito, TX",Texas,Single Family Residential,175000,-0.222222222,171500,147.6851852,9,61,6.8,41,0.876923077,0.196721312
1/1/2026,"Hornsby Bend, TX",Texas,Single Family Residential,286500,0.077067669,279000,182.9428371,4,38,9.5,66,0.97574928,0.236842105
